r, theta, phi, ground_track_beam_radius, ground_track_beam_area, v_r, v_theta, v_phi, beamwidth, v_groundtrack
7442669.961955976, 153.29259907999364, -84.46382543374432, 82.53106259366075, 21398.56972241789, 24.47112362909292, -0.0008970154667007537, 0.04623828373157475, 0.004449812006670223, 8037.46016338318
7451458.950350199, 152.97330203437977, -79.01317747889567, 83.21364945248516, 21753.99431735809, 73.40587516200048, -0.0026667777926902866, 0.04552396309780293, 0.004449812006670223, 7874.104035923098
7466104.2730364455, 152.4504875398354, -73.72546625684392, 84.35106190093549, 22352.75105375528, 122.31814181486965, -0.004366561178375647, 0.04416311098029935, 0.004449812006670222, 7568.199839328185
7486601.444020607, 151.73708105011144, -68.66370245921411, 85.94295153934503, 23204.403130066326, 171.19294132035293, -0.005958390815359142, 0.0422759918163698, 0.004449812006670223, 7155.037736584545
7512944.184834798, 150.84926841938133, -63.87315375969993, 87.98883075759537, 24322.318200379566, 220.01530288769698, -0.007415035748762306, 0.040010795784547575, 0.004449812006670223, 6675.072301861448
7545124.426460491, 149.80512133350604, -59.381023588808524, 90.48807288447426, 25723.647582903406, 268.77027178819054, -0.00872074545995611, 0.03751839594561856, 0.004449812006670223, 6165.700745261956
7583132.311800143, 148.6233595265815, -55.19843379168489, 93.43991237963208, 27429.299574038585, 317.4429139362564, -0.009870107432083997, 0.0349331061471554, 0.004449812006670222, 5656.463110505983
7626956.198696512, 147.32237993358967, -51.32367150608263, 96.8434450680733, 29463.906902463397, 366.0183204636983, -0.01086581769231134, 0.032362122221744886, 0.004449812006670223, 5167.722915850346
7676582.663498747, 145.91958891654681, -47.74576125299436, 100.69762841711301, 31855.788365228997, 414.4816122864261, -0.01171614953355794, 0.029882805801822135, 0.004449812006670223, 4711.628408098056
7731996.505174176, 144.43100881256578, -44.44773191954813, 105.00128185571418, 34636.904695373465, 462.8179446620961, -0.012432662370255398, 0.027545232587938586, 0.004449812006670223, 4294.032716155911
7793180.749964523, 142.87109926868143, -41.409271479978536, 109.75308713610772, 37842.80871801418, 511.0125117372498, -0.013028407833334999, 0.025377305977366378, 0.004449812006670223, 3916.4821822908766
7860116.656585121, 141.2527286193313, -38.60870045925154, 114.95158873758314, 41512.589859256914, 559.0505510823576, -0.013516676609804813, 0.02339044694437477, 0.004449812006670222, 3577.8570962089234
7932783.721965532, 139.5872393078005, -36.02433032540941, 120.59519431232773, 45688.81307956268, 606.9173482137559, -0.013910212984947455, 0.021584731132642, 0.004449812006670223, 3275.5638270889294
8011159.687529828, 137.88456497967766, -33.635328013663, 126.68217517317711, 50417.45231042329, 654.5982411008207, -0.014220783276250478, 0.019953013656617523, 0.004449812006670223, 3006.328178722852
